_181500120,120
_181500085,120
_181500153,120
_181500577,120
_181500123,120
_181500612,100
_181500093,100
_181500107,100
_181500683,100
_181500730,100
_181500786,100
_181500648,100
_181500287,100
_181500570,95
_181500248,95
_181500811,92
_181500393,80
_181500030,80
_181500099,80
_181500436,80
_181500499,80
_181500260,80
_181500437,80
_181500770,75
_181500833,60
_181500516,60
_181500026,60
_181500014,60
_198420005,60
_181500263,60
ritik_kumar_cs18,60
_181500420,60
_181500791,60
_181500314,60
_181500748,60
_191599011,60
_181500227,60
_181500274,40
_181500826,40
_181500718,40
_181500082,40
_181500804,40
_181500657,40
_191599015,40
_198420006,40
_181500494,40
_181500359,40
_181500477,40
_181500296,40
_181500810,40
_191599016,35
_181500479,20
_181500094,20
_198420001,20
_191599003,20
_181500473,20
nishant_singh_m2,0
_198420003,0
_181500646,0
_181500670,0
